usia;kelompok
31        ;Dewasa              
64        ;Tua                 
5         ;Balita              
57        ;Tua                 
55        ;Tua                 
61        ;Tua                 
57        ;Tua                 
56        ;Tua                 
22        ;Pemuda              
34        ;Dewasa              
57        ;Tua                 
4         ;Balita              
54        ;Dewasa              
68        ;Tua                 
27        ;Dewasa              
36        ;Dewasa              
25        ;Dewasa              
27        ;Dewasa              
9         ;Kanak-Kanak         
34        ;Dewasa              
68        ;Tua                 
69        ;Tua                 
11        ;Kanak-Kanak         
77        ;Tua                 
65        ;Tua                 
77        ;Tua                 
9         ;Kanak-Kanak         
1         ;Balita              
44        ;Dewasa              
16        ;Remaja              
44        ;Dewasa              
28        ;Dewasa              
21        ;Pemuda              
80        ;Tua                 
15        ;Remaja              
3         ;Balita              
7         ;Kanak-Kanak         
65        ;Tua                 
11        ;Kanak-Kanak         
68        ;Tua                 
8         ;Kanak-Kanak         
75        ;Tua                 
58        ;Tua                 
16        ;Remaja              
5         ;Balita              
9         ;Kanak-Kanak         
29        ;Dewasa              
60        ;Tua                 
68        ;Tua                 
29        ;Dewasa              
18        ;Pemuda              
35        ;Dewasa              
19        ;Pemuda              
20        ;Pemuda              
10        ;Kanak-Kanak         
72        ;Tua                 
7         ;Kanak-Kanak         
35        ;Dewasa              
10        ;Kanak-Kanak         
19        ;Pemuda              
16        ;Remaja              
45        ;Dewasa              
59        ;Tua                 
53        ;Dewasa              
2         ;Balita              
51        ;Dewasa              
50        ;Dewasa              
33        ;Dewasa              
29        ;Dewasa              
73        ;Tua                 
5         ;Balita              
78        ;Tua                 
61        ;Tua                 
53        ;Dewasa              
52        ;Dewasa              
72        ;Tua                 
79        ;Tua                 
38        ;Dewasa              
64        ;Tua                 
41        ;Dewasa              
61        ;Tua                 
11        ;Kanak-Kanak         
61        ;Tua                 
17        ;Pemuda              
2         ;Balita              
15        ;Remaja              
23        ;Pemuda              
36        ;Dewasa              
63        ;Tua                 
24        ;Dewasa              
73        ;Tua                 
41        ;Dewasa              
25        ;Dewasa              
63        ;Tua                 
11        ;Kanak-Kanak         
12        ;Remaja              
40        ;Dewasa              
9         ;Kanak-Kanak         
6         ;Kanak-Kanak         
35        ;Dewasa              
